elapsed_s,timestamp,raw,mv,phase,cycle_index
5.826,21:51:23.198,1165.0,997.0,exhale,2
5.849,21:51:23.221,1171.0,1006.0,exhale,2
5.871,21:51:23.243,1163.0,1000.0,exhale,2
5.892,21:51:23.264,1168.0,999.0,exhale,2
5.914,21:51:23.286,1167.0,998.0,exhale,2
5.936,21:51:23.308,1167.0,995.0,exhale,2
5.958,21:51:23.330,1167.0,1001.0,exhale,2
5.980,21:51:23.352,1164.0,999.0,exhale,2
6.002,21:51:23.374,1170.0,998.0,exhale,2
6.024,21:51:23.396,1164.0,1004.0,exhale,2
6.046,21:51:23.418,1157.0,998.0,exhale,2
6.068,21:51:23.440,1162.0,1003.0,exhale,2
6.091,21:51:23.463,1174.0,1002.0,exhale,2
6.113,21:51:23.485,1171.0,1001.0,exhale,2
6.135,21:51:23.507,1170.0,1000.0,exhale,2
6.157,21:51:23.529,1171.0,1004.0,exhale,2
6.179,21:51:23.551,1169.0,1003.0,exhale,2
6.201,21:51:23.573,1168.0,1004.0,exhale,2
6.224,21:51:23.596,1168.0,1002.0,exhale,2
6.245,21:51:23.617,1173.0,1004.0,exhale,2
6.267,21:51:23.639,1169.0,1008.0,exhale,2
6.289,21:51:23.661,1175.0,1001.0,exhale,2
6.311,21:51:23.683,1171.0,1004.0,exhale,2
6.333,21:51:23.704,1168.0,1002.0,exhale,2
6.355,21:51:23.726,1168.0,1000.0,exhale,2
6.377,21:51:23.749,1174.0,1005.0,exhale,2
6.399,21:51:23.771,1170.0,1001.0,exhale,2
6.421,21:51:23.793,1168.0,1001.0,exhale,2
6.442,21:51:23.814,1172.0,1004.0,exhale,2
6.465,21:51:23.837,1168.0,1001.0,exhale,2
6.487,21:51:23.859,1167.0,1001.0,exhale,2
6.508,21:51:23.880,1170.0,1001.0,exhale,2
6.531,21:51:23.903,1172.0,1002.0,exhale,2
6.552,21:51:23.924,1175.0,999.0,exhale,2
6.575,21:51:23.947,1165.0,1004.0,exhale,2
6.597,21:51:23.969,1180.0,1002.0,exhale,2
6.618,21:51:23.990,1174.0,1005.0,exhale,2
6.643,21:51:24.015,1176.0,1004.0,exhale,2
6.663,21:51:24.035,1180.0,1007.0,exhale,2
6.685,21:51:24.057,1181.0,1006.0,exhale,2
6.712,21:51:24.084,1170.0,1006.0,exhale,2
6.728,21:51:24.100,1173.0,1000.0,exhale,2
6.750,21:51:24.122,1172.0,1008.0,exhale,2
6.772,21:51:24.144,1172.0,1002.0,exhale,2
6.794,21:51:24.166,1169.0,1002.0,exhale,2
6.816,21:51:24.188,1157.0,1000.0,exhale,2
6.838,21:51:24.210,1167.0,1001.0,exhale,2
6.861,21:51:24.233,1165.0,1001.0,exhale,2
6.882,21:51:24.254,1162.0,996.0,exhale,2
6.905,21:51:24.277,1156.0,1001.0,exhale,2
6.927,21:51:24.298,1162.0,1000.0,exhale,2
6.949,21:51:24.321,1161.0,993.0,exhale,2
6.971,21:51:24.343,1157.0,995.0,exhale,2
6.992,21:51:24.364,1158.0,994.0,exhale,2
7.014,21:51:24.386,1156.0,991.0,exhale,2
7.037,21:51:24.409,1160.0,994.0,exhale,2
7.058,21:51:24.430,1155.0,991.0,exhale,2
7.080,21:51:24.452,1155.0,991.0,exhale,2
7.103,21:51:24.474,1155.0,990.0,exhale,2
7.125,21:51:24.497,1152.0,993.0,exhale,2
7.146,21:51:24.518,1155.0,982.0,exhale,2
7.168,21:51:24.540,1151.0,984.0,exhale,2
7.191,21:51:24.563,1152.0,984.0,exhale,2
7.212,21:51:24.584,1140.0,988.0,exhale,2
7.234,21:51:24.606,1148.0,987.0,exhale,2
7.258,21:51:24.630,1149.0,984.0,exhale,2
7.279,21:51:24.651,1139.0,986.0,exhale,2
7.300,21:51:24.672,1148.0,983.0,exhale,2
7.325,21:51:24.697,1148.0,985.0,exhale,2
7.345,21:51:24.717,1149.0,983.0,exhale,2
7.366,21:51:24.738,1149.0,982.0,exhale,2
7.389,21:51:24.761,1147.0,974.0,exhale,2
7.411,21:51:24.783,1147.0,989.0,exhale,2
7.432,21:51:24.804,1144.0,982.0,exhale,2
7.455,21:51:24.827,1138.0,978.0,exhale,2
7.476,21:51:24.848,1148.0,980.0,exhale,2
7.499,21:51:24.870,1143.0,984.0,exhale,2
7.521,21:51:24.893,1141.0,979.0,exhale,2
7.543,21:51:24.915,1141.0,980.0,exhale,2
7.564,21:51:24.936,1141.0,982.0,exhale,2
7.586,21:51:24.958,1143.0,977.0,exhale,2
7.608,21:51:24.980,1144.0,980.0,exhale,2
7.631,21:51:25.002,1146.0,984.0,exhale,2
7.652,21:51:25.024,1152.0,984.0,exhale,2
7.674,21:51:25.046,1145.0,988.0,exhale,2
7.696,21:51:25.068,1152.0,988.0,exhale,2
7.718,21:51:25.090,1149.0,988.0,exhale,2
7.741,21:51:25.113,1150.0,989.0,exhale,2
7.762,21:51:25.134,1153.0,988.0,exhale,2
7.784,21:51:25.156,1155.0,989.0,exhale,2
7.806,21:51:25.178,1152.0,990.0,exhale,2
7.829,21:51:25.201,1156.0,991.0,exhale,2
7.855,21:51:25.227,1157.0,994.0,exhale,2
7.872,21:51:25.244,1158.0,989.0,exhale,2
7.894,21:51:25.266,1159.0,992.0,exhale,2
7.916,21:51:25.288,1159.0,991.0,exhale,2
7.938,21:51:25.310,1159.0,992.0,exhale,2
7.960,21:51:25.332,1160.0,995.0,exhale,2
7.982,21:51:25.354,1163.0,993.0,exhale,2
8.004,21:51:25.376,1158.0,994.0,inhale,3
8.026,21:51:25.398,1160.0,995.0,inhale,3
8.048,21:51:25.420,1159.0,994.0,inhale,3
8.071,21:51:25.443,1160.0,994.0,inhale,3
8.092,21:51:25.464,1159.0,994.0,inhale,3
8.114,21:51:25.486,1159.0,994.0,inhale,3
8.136,21:51:25.508,1160.0,995.0,inhale,3
8.158,21:51:25.530,1160.0,999.0,inhale,3
8.180,21:51:25.552,1158.0,994.0,inhale,3
8.202,21:51:25.574,1154.0,993.0,inhale,3
